,Course_Code,Course,Points1,Points2
90,Course_Code,Course,Points1,Points2
91,CW248,Information Technology Management                 ,293,
92,Course_Code,Course,Points1,Points2
93,CW258,Cybercrime and IT Security                        ,292,
94,Course_Code,Course,Points1,Points2
95,CW268,Computing in Interactive Digital Art and Design   ,291,
96,Course_Code,Course,Points1,Points2
97,CW438,Construction (options)                            ,260,251
98,Course_Code,Course,Points1,Points2
99,CW468,Architectural Technology                          ,291,283
100,Course_Code,Course,Points1,Points2
101,CW478,Civil Engineering                                 ,465,
102,Course_Code,Course,Points1,Points2
103,CW548,Mechanical Engineering                            ,330,328
104,Course_Code,Course,Points1,Points2
105,CW558,Electronic Systems                                ,280,
106,Course_Code,Course,Points1,Points2
107,CW568,Aerospace Engineering                             ,371,359
108,Course_Code,Course,Points1,Points2
109,CW578,TV and Media Production                           ,318,
110,Course_Code,Course,Points1,Points2
111,CW708,Law - LLB                                         ,292,
112,Course_Code,Course,Points1,Points2
113,CW728,Product Design Innovation                         ,246,
114,Course_Code,Course,Points1,Points2
115,CW748,Early Childhood Education and Care                ,290,
116,Course_Code,Course,Points1,Points2
117,CW758,Professional Social Care Practice                 ,360,358
118,Course_Code,Course,Points1,Points2
119,CW808,Media and Public Relations                        ,247,
120,Course_Code,Course,Points1,Points2
121,CW848,Digital Marketing with Analytics                  ,269,
122,Course_Code,Course,Points1,Points2
123,CW858,Sports Management and Coaching (options  portfolio,#700,
124,Course_Code,Course,Points1,Points2
125,CW908,Business (options)                                ,272,
126,Course_Code,Course,Points1,Points2
127,CW938,Business with Law                                 ,270,
128,Course_Code,Course,Points1,Points2
129,CW948,Accounting                                        ,319,
130,Course_Code,Course,Points1,Points2
131,PC405,Social  Political and Community Studies           ,263,235
132,Course_Code,Course,Points1,Points2
133,PC410,Arts and Humanities (fulfils Teaching Council requ,262,230
134,Course_Code,Course,Points1,Points2
135,PC411,English and History (fulfils Teaching Council requ,243,224
136,Course_Code,Course,Points1,Points2
137,CR105,Chemical and Biopharmaceutical Engineering        ,443,
138,Course_Code,Course,Points1,Points2
139,CR106,Software Development                              ,431,
140,Course_Code,Course,Points1,Points2
141,CR108,Mechanical Engineering                            ,434,
142,Course_Code,Course,Points1,Points2
143,CR109,Structural Engineering                            ,396,
144,Course_Code,Course,Points1,Points2
145,CR110,Automotive Business Management and Technology     ,336,
146,Course_Code,Course,Points1,Points2
147,CR112,Creative Digital Media at CIT Crawford College of ,390,
148,Course_Code,Course,Points1,Points2
149,CR116,Computer Systems                                  ,365,
150,Course_Code,Course,Points1,Points2
151,CR121,Music at CIT Cork School of Music                 ,#904,#904
152,Course_Code,Course,Points1,Points2
153,CR125,Popular Music at CIT Cork School of Music         ,#1028,
154,Course_Code,Course,Points1,Points2
155,CR130,Musical Theatre at CIT Cork School of Music       ,#525,
156,Course_Code,Course,Points1,Points2
157,CR150,Business Information Systems                      ,350,
158,Course_Code,Course,Points1,Points2
159,CR210,Contemporary Applied Art (Ceramics  Glass  Textile,#450,
160,Course_Code,Course,Points1,Points2
161,CR220,Fine Art at CIT Crawford College of Art and Design,#400,
162,Course_Code,Course,Points1,Points2
163,CR225,Photography with New Media at CIT Crawford College,#435,
164,Course_Code,Course,Points1,Points2
165,CR305,Physical Sciences (Common Entry)                  ,260,
166,Course_Code,Course,Points1,Points2
167,CR310,IT Management                                     ,347,
168,Course_Code,Course,Points1,Points2
169,CR320,Biomedical Science - Offered jointly by CIT and UC,590*,
170,Course_Code,Course,Points1,Points2
171,CR325,Pharmaceutical Biotechnology                      ,466,
172,Course_Code,Course,Points1,Points2
173,CR333,Nutrition and Health Science                      ,425,
174,Course_Code,Course,Points1,Points2
175,CR335,Biological Sciences (Common Entry)                ,473,
176,Course_Code,Course,Points1,Points2
177,CR340,Analytical Chemistry with Quality Assurance       ,327,
178,Course_Code,Course,Points1,Points2
179,CR360,Instrument Engineering                            ,301,
180,Course_Code,Course,Points1,Points2
181,CR365,Environmental Science and Sustainable Technology  ,262,
182,Course_Code,Course,Points1,Points2
183,CR370,Agri-Biosciences                                  ,368,
184,Course_Code,Course,Points1,Points2
185,CR400,Accounting                                        ,315,
186,Course_Code,Course,Points1,Points2
187,CR420,Marketing                                         ,290,
188,Course_Code,Course,Points1,Points2
189,CR425,International Business with Language              ,279,
190,Course_Code,Course,Points1,Points2
191,CR430,Sport and Exercise Management                     ,402,
192,Course_Code,Course,Points1,Points2
193,CR435,Coaching Science and Sports Pedagogy              ,410,
194,Course_Code,Course,Points1,Points2
195,CR440,Montessori Education                              ,409,408
196,Course_Code,Course,Points1,Points2
197,CR500,Engineering (Common Entry)                        ,475,
198,Course_Code,Course,Points1,Points2
199,CR510,Sustainable Energy Engineering                    ,320,
200,Course_Code,Course,Points1,Points2
201,CR520,Biomedical Engineering                            ,444,
202,Course_Code,Course,Points1,Points2
203,CR560,Architectural Technology                          ,375,
204,Course_Code,Course,Points1,Points2
205,CR565,Interior Architecture                             ,431,
206,Course_Code,Course,Points1,Points2
207,CR570,Quantity Surveying                                ,375,
208,Course_Code,Course,Points1,Points2
209,CR572,Construction Management                           ,300,
210,Course_Code,Course,Points1,Points2
211,CR580,Electrical Engineering                            ,342,
212,Course_Code,Course,Points1,Points2
213,CR590,Electronic Engineering                            ,329,
214,Course_Code,Course,Points1,Points2
215,CR600,Visual Communications at CIT Crawford College of A,#280,
216,Course_Code,Course,Points1,Points2
217,CR660,Tourism Management                                ,246,
218,Course_Code,Course,Points1,Points2
219,CR700,Theatre and Drama Studies at CIT Cork School of Mu,#609,#609
220,Course_Code,Course,Points1,Points2
221,CR930,Home Economics and Business                       ,518*,
222,Course_Code,Course,Points1,Points2
223,CK101,Arts - 3 years                                    ,300,
224,Course_Code,Course,Points1,Points2
225,CK102,Social Science                                    ,434,431
226,Course_Code,Course,Points1,Points2
227,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#339,
228,Course_Code,Course,Points1,Points2
229,CK105,Film and Screen Media - 3 years or 4 years (Intern,421,420*
230,Course_Code,Course,Points1,Points2
231,CK107,Geographical and Archaeological Sciences - 3 or 4 ,312,
232,Course_Code,Course,Points1,Points2
233,CK108,Arts International - 4 years                      ,440*,440
234,Course_Code,Course,Points1,Points2
235,CK109,English - 3 years or 4 years (International Pathwa,367,357
236,Course_Code,Course,Points1,Points2
237,CK110,World Languages                                   ,488,
238,Course_Code,Course,Points1,Points2
239,CK111,Early Years and Childhood Studies                 ,409,403
240,Course_Code,Course,Points1,Points2
241,CK112,Theatre and Performative Practices - 3 or 4 years ,#371,
242,Course_Code,Course,Points1,Points2
243,CK113,Criminology - 3 years or 4 years (International Pa,464,463
244,Course_Code,Course,Points1,Points2
245,CK114,Social Science (Youth and Community Work)         ,#,
246,Course_Code,Course,Points1,Points2
247,CK115,Social Work - Mature Applicants only              ,,
248,Course_Code,Course,Points1,Points2
249,CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,339
250,Course_Code,Course,Points1,Points2
251,CK120,Applied Psychology                                ,544,543*
252,Course_Code,Course,Points1,Points2
253,CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,488
254,Course_Code,Course,Points1,Points2
255,CK122,Government and Political Science                  ,399,
256,Course_Code,Course,Points1,Points2
257,CK123,Anthropology                                      ,308,
258,Course_Code,Course,Points1,Points2
259,CK124,Education - Gaeilge                               ,473,
260,Course_Code,Course,Points1,Points2
261,CK125,Sports Studies and Physical Education             ,564,555*
262,Course_Code,Course,Points1,Points2
263,CK201,Commerce                                          ,500,499*
264,Course_Code,Course,Points1,Points2
265,CK202,Accounting                                        ,553,543*
266,Course_Code,Course,Points1,Points2
267,CK203,Business Information Systems                      ,455,452
268,Course_Code,Course,Points1,Points2
269,CK204,Finance                                           ,566*,566*
270,Course_Code,Course,Points1,Points2
271,CK205,Commerce (International) with French              ,465,
272,Course_Code,Course,Points1,Points2
273,CK206,Commerce (International) with German              ,466,455
274,Course_Code,Course,Points1,Points2
275,CK207,Commerce (International) with Italian             ,423,418
276,Course_Code,Course,Points1,Points2
277,CK208,Commerce (International) with Hispanic Studies    ,488,486
278,Course_Code,Course,Points1,Points2
279,CK209,Commerce (International) with Irish               ,507,
280,Course_Code,Course,Points1,Points2
281,CK211,Commerce (International) with Chinese Studies     ,385,
282,Course_Code,Course,Points1,Points2
283,CK212,Economics (through Transformational Learning) 3 or,445,444
284,Course_Code,Course,Points1,Points2
285,CK213,Food Marketing and Entrepreneurship               ,466,
286,Course_Code,Course,Points1,Points2
287,CK214,International Development                         ,332,
288,Course_Code,Course,Points1,Points2
289,CK301,Law (Pathways) -  3 or 4 years                    ,533,532*
290,Course_Code,Course,Points1,Points2
291,CK302,Law and French                                    ,545,
292,Course_Code,Course,Points1,Points2
293,CK304,Law and Irish                                     ,588,
294,Course_Code,Course,Points1,Points2
295,CK307,Law and Business                                  ,589*,589*
296,Course_Code,Course,Points1,Points2
297,CK401,Computer Science                                  ,503,495
298,Course_Code,Course,Points1,Points2
299,CK402,Biological and Chemical Sciences                  ,555*,555
300,Course_Code,Course,Points1,Points2
301,CK404,Biological  Earth and Environmental Sciences      ,500,495*
302,Course_Code,Course,Points1,Points2
303,CK405,Genetics                                          ,543,
304,Course_Code,Course,Points1,Points2
305,CK406,Chemical Sciences                                 ,532,
306,Course_Code,Course,Points1,Points2
307,CK407,Mathematical Sciences                             ,566,
308,Course_Code,Course,Points1,Points2
309,CK408,Physics and Astrophysics                          ,566,
310,Course_Code,Course,Points1,Points2
311,CK409,Industrial Physics - Offered jointly by UCC and CI,465,
312,Course_Code,Course,Points1,Points2
313,CK411,Data Science and Analytics                        ,531,
314,Course_Code,Course,Points1,Points2
315,CK412,Agricultural Science                              ,506,
316,Course_Code,Course,Points1,Points2
317,CK504,Nutritional Sciences                              ,555,554*
318,Course_Code,Course,Points1,Points2
319,CK505,Food Science                                      ,463,
320,Course_Code,Course,Points1,Points2
321,CK600,Engineering                                       ,510,509*
322,Course_Code,Course,Points1,Points2
323,CK606,Architecture - Offered jointly by UCC and CIT     ,543,
324,Course_Code,Course,Points1,Points2
325,CK701,Medicine (Undergraduate Entry - HPAT required)    ,#738,#737*
326,Course_Code,Course,Points1,Points2
327,CK702,Dentistry                                         ,625*,625*
328,Course_Code,Course,Points1,Points2
329,CK703,Pharmacy                                          ,613*,613*
330,Course_Code,Course,Points1,Points2
331,CK704,Occupational Therapy                              ,601*,
332,Course_Code,Course,Points1,Points2
333,CK705,Speech and Language Therapy                       ,568,566*
334,Course_Code,Course,Points1,Points2
335,CK706,Public Health Sciences                            ,500,
336,Course_Code,Course,Points1,Points2
337,CK707,Medical and Health Sciences                       ,578*,
338,Course_Code,Course,Points1,Points2
339,CK710,General Nursing                                   ,498*,497*
340,Course_Code,Course,Points1,Points2
341,CK712,Children`s and General Nursing (Integrated)       ,565,
342,Course_Code,Course,Points1,Points2
343,CK720,Mental Health Nursing                             ,455,452
344,Course_Code,Course,Points1,Points2
345,CK730,Intellectual Disability Nursing                   ,431,
346,Course_Code,Course,Points1,Points2
347,CK740,Midwifery                                         ,509*,
348,Course_Code,Course,Points1,Points2
349,CK791,Medicine  - Graduate Entry (GAMSAT required)      ,#60*,#60*
350,Course_Code,Course,Points1,Points2
351,AC120,International Business                            ,294,294
352,Course_Code,Course,Points1,Points2
353,AC137,Liberal Arts                                      ,271,270
354,Course_Code,Course,Points1,Points2
355,CT125,Computing and IT                                  ,242,242
356,Course_Code,Course,Points1,Points2
357,CT325,Business                                          ,253,253
358,Course_Code,Course,Points1,Points2
359,CM001,Education - Primary Teaching                      ,508,
360,Course_Code,Course,Points1,Points2
361,CM002,Education - Primary Teaching - Gaeltacht Applicant,#462,
362,Course_Code,Course,Points1,Points2
363,CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,#513,
364,Course_Code,Course,Points1,Points2
365,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#480,
366,Course_Code,Course,Points1,Points2
367,CM010,Education Studies                                 ,382,327
368,Course_Code,Course,Points1,Points2
369,CM020,Early Childhood Education                         ,317,
370,Course_Code,Course,Points1,Points2
371,DB500,Computing                                         ,234,234
372,Course_Code,Course,Points1,Points2
373,DB501,Computing (Cloud Computing)                       ,,178
374,Course_Code,Course,Points1,Points2
375,DB502,Computing (Data Analytics and Big Data)           ,267,233
376,Course_Code,Course,Points1,Points2
377,DB503,Computing (Software Development)                  ,,
378,Course_Code,Course,Points1,Points2
379,DB504,Computing (Web and Mobile Technology)             ,,
380,Course_Code,Course,Points1,Points2
381,DB510,Audio Production and Music Project Management     ,217,217
382,Course_Code,Course,Points1,Points2
383,DB512,Business Studies                                  ,243,210
384,Course_Code,Course,Points1,Points2
385,DB514,Business Studies (Law)                            ,239,225
386,Course_Code,Course,Points1,Points2
387,DB515,Business Studies (Human Resource Management)      ,242,217
388,Course_Code,Course,Points1,Points2
389,DB517,Marketing (Event Management)                      ,233,225
390,Course_Code,Course,Points1,Points2
391,DB518,Marketing (Digital Media)                         ,307,209
392,Course_Code,Course,Points1,Points2
393,DB521,Accounting and Finance                            ,243,228
394,Course_Code,Course,Points1,Points2
395,DB524,Business (Information Systems)                    ,247,239
396,Course_Code,Course,Points1,Points2
397,DB525,Marketing (Digital Media and Cloud Computing)     ,288,288
398,Course_Code,Course,Points1,Points2
399,DB526,Business (Cloud Computing)                        ,244,244
400,Course_Code,Course,Points1,Points2
401,DB527,Applied Social Care                               ,254,219
402,Course_Code,Course,Points1,Points2
403,DB531,Marketing                                         ,288,176
404,Course_Code,Course,Points1,Points2
405,DB562,Psychology                                        ,244,233
406,Course_Code,Course,Points1,Points2
407,DB566,Social Science                                    ,262,228
408,Course_Code,Course,Points1,Points2
409,DB567,Film and Creative Media                           ,245,213
410,Course_Code,Course,Points1,Points2
411,DB568,Law                                               ,254,228
412,Course_Code,Course,Points1,Points2
413,DB569,Business (Psychology)                             ,240,240
414,Course_Code,Course,Points1,Points2
415,DC001,Education - Early Childhood Education             ,445,
416,Course_Code,Course,Points1,Points2
417,DC002,Education - Primary Teaching                      ,518*,
418,Course_Code,Course,Points1,Points2
419,DC003,Education - Primary Teaching - Gaeltacht Applicant,#489,
420,Course_Code,Course,Points1,Points2
421,DC004,Education - Primary Teaching (Church of Ireland Ce,#451,
422,Course_Code,Course,Points1,Points2
423,DC009,Arts (Joint Honours) - Humanities                 ,356,
424,Course_Code,Course,Points1,Points2
425,DC010,Post Primary Teacher Education - Religious Educati,384,
426,Course_Code,Course,Points1,Points2
427,DC011,Post Primary Teacher Education - Religious Educati,409,
428,Course_Code,Course,Points1,Points2
429,DC012,Post Primary Teacher Education - Religious Educati,409,
430,Course_Code,Course,Points1,Points2
431,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,
432,Course_Code,Course,Points1,Points2
433,DC014,BA in Jazz and Contemporary Music Performance (aud,#311,
434,Course_Code,Course,Points1,Points2
435,DC110,Business Studies International                    ,498,
436,Course_Code,Course,Points1,Points2
437,DC111,Business Studies                                  ,511,
438,Course_Code,Course,Points1,Points2
439,DC112,Global Business (France)                          ,542*,
440,Course_Code,Course,Points1,Points2
441,DC113,Global Business (Germany)                         ,484,
442,Course_Code,Course,Points1,Points2
443,DC114,Global Business (Spain)                           ,544,
444,Course_Code,Course,Points1,Points2
445,DC115,Accounting and Finance                            ,544,
446,Course_Code,Course,Points1,Points2
447,DC116,Global Business (USA)                             ,613*,
448,Course_Code,Course,Points1,Points2
449,DC117,Aviation Management / Aviation Management with Pil,484,
450,Course_Code,Course,Points1,Points2
451,DC118,Gná agus Gaeilge / Business and Irish             ,368,
452,Course_Code,Course,Points1,Points2
453,DC119,Global Business (Canada)                          ,601,
454,Course_Code,Course,Points1,Points2
455,DC120,Computing for Business                            ,403,402
456,Course_Code,Course,Points1,Points2
457,DC121,Computer Science                                  ,475,
458,Course_Code,Course,Points1,Points2
459,DC123,Data Science                                      ,501,
460,Course_Code,Course,Points1,Points2
461,DC126,Actuarial Mathematics                             ,577*,
462,Course_Code,Course,Points1,Points2
463,DC127,Common Entry into Actuarial and Financial Mathemat,541,
464,Course_Code,Course,Points1,Points2
465,DC131,Communication Studies                             ,421,
466,Course_Code,Course,Points1,Points2
467,DC132,Journalism                                        ,452,
468,Course_Code,Course,Points1,Points2
469,DC133,Multimedia                                        ,435,
470,Course_Code,Course,Points1,Points2
471,DC155,Applied Language and Translation Studies          ,427,
472,Course_Code,Course,Points1,Points2
473,DC161,Analytical Science                                ,498,
474,Course_Code,Course,Points1,Points2
475,DC162,Chemical and Pharmaceutical Sciences              ,531*,
476,Course_Code,Course,Points1,Points2
477,DC163,Chemical Sciences General Entry (Undenominated Ent,466*,
478,Course_Code,Course,Points1,Points2
479,DC166,Environmental Science and Technology              ,423*,
480,Course_Code,Course,Points1,Points2
481,DC168,Genetics and Cell Biology                         ,543*,
482,Course_Code,Course,Points1,Points2
483,DC175,Physics General Entry (options)                   ,400,
484,Course_Code,Course,Points1,Points2
485,DC180,Biological Sciences General Entry (Undenominated E,530,
486,Course_Code,Course,Points1,Points2
487,DC181,Biotechnology                                     ,530,
488,Course_Code,Course,Points1,Points2
489,DC190,Electronic and Computer Engineering (with choice o,488,
490,Course_Code,Course,Points1,Points2
491,DC193,Mechatronic Engineering                           ,490,
492,Course_Code,Course,Points1,Points2
493,DC194,Sustainable Systems and Energy                    ,476,
494,Course_Code,Course,Points1,Points2
495,DC195,Mechanical and Manufacturing Engineering          ,500,
496,Course_Code,Course,Points1,Points2
497,DC197,Biomedical Engineering                            ,510,
498,Course_Code,Course,Points1,Points2
499,DC200,Common Entry into Engineering (Undenominated Entry,511,510
500,Course_Code,Course,Points1,Points2
501,DC202,Sport Science and Health                          ,511,
502,Course_Code,Course,Points1,Points2
503,DC203,Science Education                                 ,462,
504,Course_Code,Course,Points1,Points2
505,DC204,Athletic Therapy and Training                     ,558,
506,Course_Code,Course,Points1,Points2
507,DC205,Physical Education with Biology                   ,565,
508,Course_Code,Course,Points1,Points2
509,DC206,Physical Education with Mathematics               ,521,
510,Course_Code,Course,Points1,Points2
511,DC207,Psychology and Mathematics                        ,521,
512,Course_Code,Course,Points1,Points2
513,DC208,Psychology                                        ,565,
514,Course_Code,Course,Points1,Points2
515,DC209,Health and Society                                ,477,
516,Course_Code,Course,Points1,Points2
517,DC210,Psychology and Disruptive Technologies            ,506,
518,Course_Code,Course,Points1,Points2
519,DC215,General Nursing                                   ,456*,
520,Course_Code,Course,Points1,Points2
521,DC216,Mental Health Nursing                             ,420,
522,Course_Code,Course,Points1,Points2
523,DC217,Intellectual Disability Nursing                   ,382,
524,Course_Code,Course,Points1,Points2
525,DC218,Children`s and General Nursing (Integrated)       ,521*,
526,Course_Code,Course,Points1,Points2
527,DC230,Economics  Politics and Law                       ,431,
528,Course_Code,Course,Points1,Points2
529,DC231,International Relations                           ,398,
530,Course_Code,Course,Points1,Points2
531,DC232,Law and Society (BCL)                             ,469,
532,Course_Code,Course,Points1,Points2
533,DC235,Education and Training - Daytime and Flexible Deli,302,
534,Course_Code,Course,Points1,Points2
535,DC238,Social Sciences and Cultural Innovation           ,387,
536,Course_Code,Course,Points1,Points2
537,DC240,Marketing  Innovation and Technology              ,499,
538,Course_Code,Course,Points1,Points2
539,DC241,Digital Business and Innovation                   ,509,
540,Course_Code,Course,Points1,Points2
541,DC291,Arts (Joint Honours) - Media Studies              ,350,
542,Course_Code,Course,Points1,Points2
543,DC292,Arts (Joint Honours) - Law                        ,400,
544,Course_Code,Course,Points1,Points2
545,DC293,Arts (Joint Honours) - International Languages    ,379,
546,Course_Code,Course,Points1,Points2
547,DC294,Climate and Environmental Sustainability          ,475,
548,Course_Code,Course,Points1,Points2
549,DC295,Arts (Joint Honours) - Politics                   ,349,
550,Course_Code,Course,Points1,Points2
551,DL822,Arts Management                                   ,254,
552,Course_Code,Course,Points1,Points2
553,DL823,Business Management                               ,220,
554,Course_Code,Course,Points1,Points2
555,DL825,Applied Psychology                                ,418,413
556,Course_Code,Course,Points1,Points2
557,DL826,Graphic Design                                    ,#591,
558,Course_Code,Course,Points1,Points2
559,DL827,Art                                               ,#574,
560,Course_Code,Course,Points1,Points2
561,DL832,Animation                                         ,#989,
562,Course_Code,Course,Points1,Points2
563,DL833,Photography and Visual Media                      ,#671,#671
564,Course_Code,Course,Points1,Points2
565,DL836,Creative Computing                                ,235,
566,Course_Code,Course,Points1,Points2
567,DL837,New Media Studies                                 ,298,293
568,Course_Code,Course,Points1,Points2
569,DL838,Creative Music Production                         ,#713,
570,Course_Code,Course,Points1,Points2
571,DL839,Interaction and User Experience Design            ,#757,
572,Course_Code,Course,Points1,Points2
573,DL840,Digital Marketing                                 ,210,
574,Course_Code,Course,Points1,Points2
575,DL841,English and Equality Studies                      ,277,277
576,Course_Code,Course,Points1,Points2
577,DL843,Film                                              ,#987,#874
578,Course_Code,Course,Points1,Points2
579,DL844,Television                                        ,#566,
580,Course_Code,Course,Points1,Points2
581,DL845,Design for Film (degree options)                  ,#628,
582,Course_Code,Course,Points1,Points2
583,GC200,Business                                          ,269,242
584,Course_Code,Course,Points1,Points2
585,GC201,Accounting and Finance                            ,260,226
586,Course_Code,Course,Points1,Points2
587,GC230,Computing Science                                 ,300,289
588,Course_Code,Course,Points1,Points2
589,GC300,Business                                          ,264,264
590,Course_Code,Course,Points1,Points2
591,GC301,Accounting and Finance                            ,,251
592,Course_Code,Course,Points1,Points2
593,GC302,Business - HRM                                    ,377,377
594,Course_Code,Course,Points1,Points2
595,GC307,Business (Marketing)                              ,289,270
596,Course_Code,Course,Points1,Points2
597,GC400,Business                                          ,250,228
598,Course_Code,Course,Points1,Points2
599,GC401,Accounting and Finance                            ,242,242
600,Course_Code,Course,Points1,Points2
601,GC402,Business (HRM)                                    ,,
602,Course_Code,Course,Points1,Points2
603,GC403,Law                                               ,245,242
604,Course_Code,Course,Points1,Points2
605,GC407,Business (Marketing)                              ,264,264
606,Course_Code,Course,Points1,Points2
607,GC430,Computing Science                                 ,251,251
608,Course_Code,Course,Points1,Points2
609,GC450,Communications and Media Production               ,225,225
610,Course_Code,Course,Points1,Points2
611,GC462,Design Communication (portfolio)                  ,#300,
612,Course_Code,Course,Points1,Points2
613,GC489,Interior Architecture (portfolio)                 ,#288,#274
614,Course_Code,Course,Points1,Points2
615,GC494,Fashion Design (portfolio)                        ,#351,
616,Course_Code,Course,Points1,Points2
617,BY001,Business                                          ,210,210
618,Course_Code,Course,Points1,Points2
619,ID001,Accounting and Finance                            ,,
620,Course_Code,Course,Points1,Points2
621,ID002,Business Studies                                  ,,
622,Course_Code,Course,Points1,Points2
623,AD101,First Year Art and Design (Common Entry portfolio),#554,
624,Course_Code,Course,Points1,Points2
625,AD102,Graphic Design and Moving Image Design (portfolio),#538,
626,Course_Code,Course,Points1,Points2
627,AD103,Textile and Surface Design and Jewellery and Objec,#505,
628,Course_Code,Course,Points1,Points2
629,AD202,Education and Design or Fine Art (Second Level Tea,#591,
630,Course_Code,Course,Points1,Points2
631,AD204,Fine Art (portfolio)                              ,#514,
632,Course_Code,Course,Points1,Points2
633,AD211,Fashion Design (portfolio)                        ,#760,#679
634,Course_Code,Course,Points1,Points2
635,AD212,Product Design (portfolio)                        ,#413,
636,Course_Code,Course,Points1,Points2
637,AD215,Visual Culture                                    ,337,300
638,Course_Code,Course,Points1,Points2
639,AD217,Illustration (portfolio)                          ,#738,
640,Course_Code,Course,Points1,Points2
641,AD222,Interaction Design (portfolio)                    ,#444,
642,Course_Code,Course,Points1,Points2
643,NC003,Computing (Degree Award options)                  ,271,
644,Course_Code,Course,Points1,Points2
645,NC005,Human Resource Management                         ,301,
646,Course_Code,Course,Points1,Points2
647,NC009,Business                                          ,300,
648,Course_Code,Course,Points1,Points2
649,NC010,Psychology                                        ,420,
650,Course_Code,Course,Points1,Points2
651,NC020,Marketing Practice                                ,270,
652,Course_Code,Course,Points1,Points2
653,NC022,Accounting and Finance                            ,330,
654,Course_Code,Course,Points1,Points2
