Course_Code,Course_Title,finalPoints2021,finalPoints2020,finalPoints2019
DT518,Languages and International Tourism,,,307.0
DT529,Drama (Performance),,,
DT532,Law (LL.B.),,,422.0
DT544,Interior Design,,,
DT545,Design - Visual Communication,,,
DT546,Fine Art,,,
DT555,International Business and Languages,,,353.0
DT559,Photography,,,
DT571,Social Care,,,394.0
DT572,Early Childhood Education,,,385.0
DT582,Journalism,,,347.0
DT596,Print Media Technology and Management,,,252.0
DT597,Creative and Cultural Industries,,,280.0
GA160,Business,,163.0,
GA170,Business,,250.0,
GA171,Business Information Systems,,250.0,
GA172,Rural Enterprise and Agri-Business,,277.0,
GA174,Marketing and Sales,,281.0,
GA175,Finance,,278.0,
GA176,Business with Entrepreneurship,,278.0,
GA181,Accounting,,309.0,303.0
GA182,Business,,287.0,290.0
GA183,Business Information Systems,,296.0,309.0
GA184,Marketing and Sales,,307.0,307.0
GA185,Finance and Economics,,293.0,307.0
GA186,Business with Entrepreneurship,,280.0,297.0
GA187,Rural Enterprise and Agri-Business,,281.0,280.0
GA272,Heritage Studies,,188.0,
GA273,Contemporary Art,,702.0,
GA274,Design,,251.0,
GA281,Film and Documentary,,304.0,287.0
GA282,Heritage Studies,,220.0,238.0
GA283,Contemporary Art (portfolio),,679.0,260.0
GA284,Design,,303.0,309.0
GA285,Education (Art  Design and Graphics),,,
GA360,Business in Tourism,,172.0,
GA361,Culinary Arts,,193.0,
GA362,Hotel and Hospitality Operations,,228.0,
GA364,Heritage Studies,,252.0,
GA370,Hotel and Catering Management,,198.0,
GA376,Event Management with Public Relations,,187.0,
GA377,International Tourism Management,,172.0,
GA378,Culinary and Gastronomic Science,,219.0,
GA380,International Hotel Management,,242.0,225.0
GA381,International Tourism Management,,278.0,261.0
GA382,Culinary and Gastronomic Science,,206.0,225.0
GA384,Event Management with Public Relations,,212.0,209.0
GA385,Retail Management,,,219.0
GA470,Construction Management,,243.0,
GA471,Quantity Surveying and Construction Economics,,200.0,
GA472,Architectural Technology,,226.0,
GA473,Civil Engineering,,241.0,
GA480,Construction Management,,260.0,260.0
GA482,Quantity Surveying and Construction Economics,,288.0,280.0
GA483,Architectural Technology,,265.0,251.0
GA484,Civil Engineering,,290.0,270.0
GA570,Software and Electronic Engineering,,224.0,
GA580,Software and Electronic Engineering,,300.0,301.0
GA670,Mechanical Engineering,,265.0,
GA673,Energy Engineering,,260.0,
GA674,Biomedical Engineering,,298.0,
GA675,Agricultural Engineering,,298.0,
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),,290.0,
GA677,Manufacturing Engineering Design,,235.0,
GA680,Mechanical Engineering,,330.0,336.0
GA681,Energy Engineering,,293.0,281.0
GA682,Biomedical Engineering,,313.0,331.0
GA683,Agricultural Engineering,,309.0,301.0
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),,340.0,346.0
GA685,Manufacturing Engineering Design,,309.0,
GA770,Applied Freshwater and Marine Biology,,280.0,
GA771,Applied Biology and Biopharmaceutical Science,,280.0,
GA772,Chemical and Pharmaceutical Science,,280.0,
GA773,Physics and Instrumentation,,299.0,
GA774,Science (Undenominated),,289.0,
GA775,Computing in Software Development,,260.0,
GA776,Computing and Digital Media,,241.0,
GA777,Agriculture and Environmental Management,,281.0,
GA780,Applied Freshwater and Marine Biology,,327.0,300.0
GA781,Applied Biology and Biopharmaceutical Science,,337.0,317.0
GA782,Chemical and Pharmaceutical Science,,336.0,307.0
GA783,Physics and Instrumentation,,363.0,373.0
GA784,Science (Undenominated),,372.0,327.0
GA785,Medical Science,,473.0,451.0
GA786,Forensic Science and Analysis,,317.0,300.0
GA787,Computing in Software Development,,270.0,275.0
GA788,Computing and Digital Media,,274.0,270.0
GA789,Agriculture and Environmental Management (Mountbellew Campus),,287.0,297.0
GA790,Sport and Exercise Science,,356.0,350.0
GA791,Public Health Nutrition,,368.0,364.0
GA862,History & Geography,,178.0,
GA864,Early Childhood Education and Care,,204.0,
GA870,Outdoor Education and Leisure,,171.0,
GA871,Early Childhood Education and Care,,190.0,
GA872,Culture and Environment,,196.0,
GA879,Applied Social Care,,244.0,
GA880,General Nursing,,422.0,
GA882,Psychiatric Nursing - Mayo Campus,,367.0,346.0
GA885,Outdoor Education,,252.0,210.0
GA887,History and Geography - Mayo Campus,,244.0,228.0
GA889,Applied Social Care - Mayo Campus,,266.0,260.0
GA890,Early Childhood Care and Education - Mayo Campus,,270.0,278.0
GA891,Geography and Outdoor Education,,244.0,
GA892,Community Development and Youth Work (Level 8),,,
GA974,"Furniture Design, Making and Technology - Common Entry",,214.0,
GA980,Education (Design Graphics and Construction) - Letterfrack Campus,,377.0,376.0
GA981,Furniture Design and Manufacture,,,271.0
GA982,Furniture Making and Architectural Woodworking,,,270.0
GA983,Furniture and Digital Manufacturing,,,
GA984,Furniture Design  Making and Technology - Common E,,284.0,
GB001,Business,,,
GC200,Business Studies (Cork),,252.0,269.0
GC201,Accounting and Finance,,303.0,251.0
GC230,Computing Science,,325.0,228.0
GC250,Communications and Media Production,,,
GC300,Business Studies (Limerick),,429.0,251.0
GC301,Accounting and Finance,,253.0,307.0
GC302,Business Studies - HRM,,,269.0
GC305,International Hospitality Management,,253.0,327.0
GC306,International Hospitality Management,,253.0,
GC307,Business (Marketing),,,
GC335,Computing,,195.0,
GC400,Business Studies,,248.0,246.0
GC401,Accounting and Finance (Dublin),,227.0,181.0
GC402,"Business Studies (HRM, Dublin)",,236.0,217.0
GC403,Law,,228.0,225.0
GC405,International Hospitality Management (Dublin),,,254.0
GC407,"Business Studies (Marketing, Dublin)",,280.0,246.0
GC410,Marketing,,145.0,
GC411,Business,,135.0,
GC430,Computing Science (Dublin),,220.0,217.0
GC435,Computing,,,
GC450,Journalism and Visual Media (Dublin),,254.0,227.0
GC460,Music Production for Games (portfolio),,,
GC462,Design Communication (portfolio),,,
GC465,Communications,,,
GC466,Film and TV Production,,,
GC470,Photographic Media,,169.0,
GC475,Photography,,150.0,
GC489,Interior Architecture (portfolio),,254.0,
GC490,Interior Design,,117.0,
GC494,Fashion Design (portfolio),,217.0,
GC495,Fashion,,129.0,
GY101,Arts (Joint-Honours),,300.0,300.0
GY104,Arts (Psychology),,520.0,507.0
GY105,Arts (History),,301.0,318.0
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,409.0,330.0
GY109,Arts (Mathematics and Education),,403.0,411.0
GY110,Arts with Children`s Studies,,357.0,382.0
GY111,Arts with Creative Writing,,330.0,402.0
GY112,Arts with Film Studies,,321.0,338.0
GY113,Arts with Human Rights,,368.0,338.0
GY115,Arts with Performing Arts Studies,,387.0,328.0
GY118,Arts (Drama  Theatre and Performance Studies),,451.0,410.0
GY119,Arts (Journalism),,400.0,410.0
GY120,"Arts (Child, Youth and Family: Policy and Practice)",,350.0,309.0
GY121,Arts (Children's Studies),,356.0,356.0
GY122,Na DÃ¡na (CumarsÃ¡id agus Gaeilg,,361.0,308.0
GY123,Applied Social Sciences,,358.0,357.0
GY124,Arts (Arts with Data Science),,454.0,434.0
GY125,Arts (Digital Arts and Technology),,328.0,324.0
GY126,Arts (English and Media Studies),,391.0,418.0
GY127,Arts (Film and Digital Media),,401.0,387.0
GY128,Arts (Global Languages),,352.0,370.0
GY129,Arts (Global Experienc,,420.0,408.0
GY130,Arts (Music),,408.0,400.0
GY131,Arts (History and Globalisation Studies),,360.0,340.0
GY132,"Government (Politics, Economics and Law)",,407.0,402.0
GY133,Education (Computer Science and Mathematical Studi,,422.0,401.0
GY134,Geography and Geosystems,,410.0,
GY135,Arts (Global Media),,,
GY136,Na DÃ¡na (LÃ©ann Teanga - options),,,
GY201,Commerce,,433.0,420.0
GY202,Commerce (International) with French,,484.0,484.0
GY203,Commerce (International) with German,,489.0,489.0
GY204,Commerce (International) with Spanish,,495.0,484.0
GY206,Business Information Systems (Work Placement & Optional Int`l Study),,465.0,431.0
GY207,Commerce (Accounting) including optional Global Ex,,509.0,486.0
GY208,Commerce (Gaeilg,,473.0,473.0
GY209,Commerce (Global Experience),,530.0,509.0
GY250,Law and Business,,487.0,436.0
GY251,Law (BCL),,499.0,473.0
GY252,Law (BCL) and Human Rights,,520.0,510.0
GY253,Law and Taxation,,509.0,
GY254,"Law (BCL), Criminology and Criminal Justice",,530.0,
GY261,Business Studies in International Hotel Management,,497.0,
GY262,"Commerce (International Hotel Management, Shannon)",,681.0,
GY301,Science,,432.0,400.0
GY303,Biomedical Science,,556.0,533.0
GY304,Biotechnology,,465.0,473.0
GY308,Environmental Science,,408.0,413.0
GY309,Financial Mathematics and Economics,,487.0,454.0
GY310,Marine Science,,419.0,409.0
GY313,Environmental Health and Safety,,412.0,402.0
GY314,Earth and Ocean Sciences,,403.0,402.0
GY318,Biopharmaceutical Chemistry,,509.0,510.0
GY319,Mathematical Science,,476.0,456.0
GY320,Physics (Degree options: Applied Astrophysics Biom,,402.0,401.0
GY321,Genetics and Genomics,,508.0,
GY322,Agricultural Sciences,,,
GY350,Computer Science and Information Technology,,403.0,425.0
GY401,Engineering (Undenominated),,465.0,444.0
GY402,Civil Engineering,,455.0,509.0
GY405,Mechanical Engineering,,454.0,443.0
GY406,Electronic and Computer Engineering,,510.0,509.0
GY408,Biomedical Engineering,,509.0,519.0
GY410,Project and Construction Management,,403.0,434.0
GY413,Energy Systems Engineering,,502.0,532.0
GY414,Electrical and Electronic Engineering,,405.0,454.0
GY501,Medicine (five year/six year course  HPAT required,,728.0,
GY502,Occupational Therapy,,555.0,532.0
GY503,Speech and Language Therapy,,543.0,529.0
GY504,Podiatric Medicine,,443.0,434.0
GY515,General Nursing (Galway and Portiuncula),,473.0,442.0
GY516,Mental Health Nursing,,440.0,388.0
GY517,Midwifery,,495.0,429.0
ID001,Accounting and Finance,,203.0,229.0
ID002,Business Studies,,294.0,285.0
LC110,Art and Design (Common Entry  portfolio),,740.0,
LC114,Fashion and Textiles for Product and Costume (portfolio),,880.0,
LC115,Art and Design Teacher Education (portfolio),,942.0,
LC220,Digital Marketing,,262.0,254.0
LC221,Accounting and Finance,,241.0,
LC222,Marketing and Management,,270.0,
LC223,Law and Taxation,,307.0,308.0
LC224,Accounting and Finance,,300.0,299.0
LC225,Marketing and Management,,298.0,298.0
LC226,Enterprise and Innovation,,234.0,216.0
LC228,Sports Development and Coaching,,205.0,
LC230,Business with Computing,,217.0,
LC233,Software Development,,272.0,300.0
LC234,Interactive Digital Media,,225.0,219.0
LC235,Internet Systems Development,,205.0,
LC236,Internet Systems Development,,260.0,298.0
LC239,Computer Networks and Systems Management,,307.0,335.0
LC241,Construction Management,,255.0,276.0
LC242,Property Valuation and Management,,282.0,292.0
LC243,Quantity Surveying,,294.0,281.0
LC248,Built Environment (Common Entry),,288.0,307.0
LC251,Civil Engineering,,206.0,
LC252,Civil Engineering Management,,270.0,281.0
LC257,Interior Design,,264.0,
LC260,Applied Biology,,326.0,
LC263,Clinical Technology,,294.0,282.0
LC265,Forensic and Pharmaceutical Sciences,,413.0,335.0
LC266,Drug and Medicinal Product Analysis,,262.0,236.0
LC267,Forensic and Pharmaceutical Sciences,,329.0,
LC268,Medical Technology,,289.0,
LC270,Music Technology and Production,,307.0,
LC271,Electrical Engineering,,261.0,
LC275,Electrical Engineering,,298.0,288.0
LC276,Creative Broadcast and Film Production,,297.0,
LC277,Industrial Automation and Robotic Systems,,232.0,
LC278,Renewable and Electrical Energy Engineering,,280.0,
LC279,Electronic Engineering,,214.0,
LC281,Automobile Technology,,208.0,
LC283,Precision Engineering,,227.0,
LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",,200.0,
LC285,Mechanical Engineering,,272.0,
LC286,Road Transport Technology and Management,,264.0,
LC288,Mechanical Engineering,,346.0,307.0
LC289,Precision Engineering,,291.0,280.0
LC290,Community Sport Development,,188.0,
LC292,Social Care Work,,367.0,360.0
LC293,Business Studies with Travel and Tourism Managemen,,307.0,299.0
LC294,Business Studies with Event Management,,279.0,271.0
LC295,Business Studies with Sports Management,,252.0,263.0
LC297,Community Development,,235.0,217.0
LC320,Business,,346.0,337.0
LC330,Business with Computing,,297.0,298.0
LC336,Computing,,207.0,
LC340,Interior Design,,350.0,298.0
LC362,Biotechnology and Biopharmaceutical Sciences,,413.0,379.0
LC371,Creative Broadcast and Film Production,,309.0,298.0
LC372,Music Technology and Production,,325.0,321.0
LC374,Renewable and Electrical Energy Engineering,,318.0,317.0
LC375,Industrial Automation & Robotic Systems,,317.0,321.0
LC376,Electronic Engineering,,318.0,308.0
LC380,Automotive Engineering and Transport Management,,298.0,282.0
LC392,Beauty and Spa Management,,236.0,217.0
LC393,Early Childhood Education & Care,,236.0,260.0
LC398,Culinary Arts,,163.0,
LC399,Hospitality Supervision,,148.0,
LC401,Early Childhood Education and Care,,297.0,298.0
LC402,Social Care Work,,225.0,209.0
LC408,Environmental Science and Climate,,279.0,262.0
LC411,Marketing and Management (Thurles),,,226.0
LC414,Data Analytics and Cyber Security,,236.0,
LC415,Business,,197.0,
LC416,Business,,274.0,
LC418,Computing - Games Design and Development,,270.0,271.0
LC422,Applied Strength and Conditioning,,298.0,288.0
LC423,Sports Strength and Conditioning,,157.0,
LC425,Environmental Science,,278.0,
LC428,Environmental Science and Agriculture,,278.0,
LC432,Early Childhood Education and Care,,144.0,
LC434,Environmental Science and Agriculture,,297.0,278.0
LC502,Game Art and Design (portfolio),,852.0,
LC504,Creative Media and Design,,192.0,
LC517,Creative Media and Design,,234.0,229.0
LC518,Digital Animation Production (portfolio),,808.0,
LC602,Social Care Work,,260.0,
LC603,Early Childhood Education and Care,,147.0,
LC605,Business,,195.0,
LC612,Social Care Work,,320.0,319.0
LC613,Early Childhood Education and Care,,242.0,346.0
LM002,Arts,,348.0,329.0
LM019,Social Sciences,,,
LM020,Law and Accounting,,465.0,436.0
LM026,Performing Arts (audition required),,303.0,
LM028,Criminal Justice,,418.0,387.0
LM029,Law Plus,,490.0,473.0
LM038,Psychology and Sociology,,500.0,478.0
LM039,Journalism and Digital Communication,,402.0,388.0
LM040,European Studies,,369.0,350.0
LM044,Applied Languages,,442.0,404.0
LM050,Business Studies,,431.0,419.0
LM056,International Business,,528.0,511.0
LM058,Financial Mathematics,,403.0,434.0
LM063,Technology Management,,379.0,372.0
LM066,Environmental Science,,,
LM068,Food Science and Health,,421.0,400.0
LM076,Product Design and Technology (portfolio required),,408.0,
LM077,Aeronautical Engineering,,520.0,469.0
LM082,Construction Management and Engineering,,398.0,368.0
LM089,Sport and Exercise Sciences,,474.0,441.0
LM090,Physical Education with concurrent Teacher Educati,,532.0,
LM091,Languages with concurrent Teacher Education,,517.0,
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),,507.0,478.0
LM093,Equine Science,,339.0,338.0
LM094,Materials and Architectural Technology with concurrent Teacher Education,,440.0,405.0
LM095,Materials and Engineering Technology with concurrent Teacher Education,,367.0,358.0
LM096,Science with Teacher Ed (Physical Sciences with Ch,,405.0,382.0
LM097,Mathematics and Computer Science with concurrent Teacher Education,,402.0,
LM099,Architecture (portfolio requirement suspended),,498.0,
LM100,Physiotherapy,,589.0,
LM101,Medicine  - Graduate Entry (GAMSAT required),,55.0,
LM102,Psychology,,509.0,495.0
LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licenc,,392.0,
LM105,Exercise and Health Fitness Management,,,
LM115,Chemical and Biochemical Engineering,,454.0,456.0
LM116,Engineering (Biomedical/Civil/Design and Manufactu,,476.0,434.0
LM118,Electronic and Computer Engineering,,403.0,401.0
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),,351.0,352.0
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),,327.0,330.0
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),,441.0,412.0
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),,437.0,
LM125,Physics (Applied Physics or Mathematics & Physics),,404.0,405.0
LM150,General Nursing,,475.0,
LM152,Mental Health Nursing,,419.0,388.0
LM154,Intellectual Disability Nursing,,420.0,
LM156,Midwifery,,469.0,429.0
LM180,Equine Science,,337.0,
LY107,Business - Common Entry,,161.0,
LY108,Business - Accounting,,309.0,318.0
LY118,Business,,290.0,287.0
LY128,Marketing with Online Technologies,,,
LY206,Sports Studies,,148.0,
LY207,Law with Criminal Justice,,160.0,
LY208,Law,,300.0,300.0
LY218,Business - with Spanish/Irish options,,,298.0
LY228,Sports and Exercise - Common Entry,,300.0,278.0
LY317,Culinary Arts,,224.0,
LY327,Hospitality And Tourism - Common Entry,,170.0,
LY408,Design - Common Entry,,320.0,
LY427,Digital Film and Video,,170.0,
LY437,Animation,,198.0,
LY447,Fashion with Promotion,,266.0,
LY457,Graphic and Digital Design,,179.0,
LY507,Quantity Surveying,,181.0,
LY508,Fire Safety Engineering,,276.0,270.0
LY518,Quantity Surveying,,301.0,307.0
LY527,Civil Engineering,,163.0,
LY528,Construction Management,,271.0,267.0
LY538,Architectural Technology,,,
LY607,Electronic Engineering,,160.0,
LY608,Mechanical Engineering,,300.0,304.0
LY617,Mechanical Engineering,,180.0,
LY618,Electronics and Embedded Systems,,312.0,307.0
LY707,Computer Games Development,,204.0,
LY708,Applied Computing,,306.0,300.0
LY717,Computing,,160.0,
LY737,Computer Security and Digital Forensics,,169.0,
LY748,Computer Science,,317.0,
LY806,Pharmacy Technician,,232.0,
LY816,Dental Nursing,,223.0,
LY817,Bioscience,,248.0,
LY818,Science - Common Entry,,303.0,302.0
LY826,Health Science with Physiotherapy Studies,,401.0,
LY828,Agriculture - Common Entry,,307.0,300.0
LY836,Health Science with Occupational Therapy Studies,,408.0,
LY837,Food Science and Nutrition,,194.0,
LY846,Health Science with Dietetics Studies,,316.0,
LY847,Veterinary Nursing,,367.0,
LY867,Pharmaceutical & Medicinal Science,,163.0,
LY877,Agriculture,,181.0,
LY906,"Early Childhood Care, Health and Education",,161.0,
LY908,General Nursing,,400.0,383.0
LY916,Health and Social Care,,181.0,
LY918,Psychiatric Nursing,,357.0,
LY928,Intellectual Disability Nursing,,326.0,288.0
LY968,"Early Childhood Care, Health and Education",,303.0,300.0
LY978,Health & Social Care - Common Entry,,280.0,260.0
MH001,Education - Primary Teaching (Froebel),,507.0,
MH002,Education - Primary Teaching - Gaeltacht Applicant,,,
MH003,Early Childhood - Teaching and Learning (full-time,,,
MH101,Arts,,318.0,316.0
MH103,Music,,,
MH106,Psychology - 3 years,,521.0,495.0
MH107,Social Science,,346.0,326.0
MH109,Media Studies,,316.0,317.0
MH116,Community and Youth Work (Full-Tim,,,
MH201,Science,,360.0,350.0
MH202,Biotechnology,,455.0,429.0
MH203,Biological and Geographical Sciences,,430.0,
MH204,Physics with Astrophysics,,422.0,420.0
MH206,Theoretical Physics and Mathematics,,510.0,498.0
MH207,Data Science,,445.0,434.0
MH208,Biological and Biomedical Sciences,,498.0,451.0
MH209,Psychology (through Science) - 4 years,,498.0,473.0
MH210,Pharmaceutical and Biomedical Chemistry,,487.0,446.0
MH212,Science|Maths and Computer Science|Mathematics (wi,,422.0,444.0
MH304,Engineering (Computer/Electronic/Communications),,333.0,371.0
MH305,Product Design,,357.0,358.0
MH306,Robotics and Intelligent Devices,,361.0,361.0
MH401,Finance (options),,357.0,352.0
MH402,Quantitative Finance,,476.0,476.0
MH403,Accounting and Finance,,422.0,402.0
MH404,Business (options),,430.0,400.0
MH405,Equine Business,,357.0,357.0
MH407,Business and Accounting,,420.0,401.0
MH411,Entrepreneurship,,371.0,358.0
MH501,LLB Law - four year Single Major Law programme,,473.0,451.0
MH502,Law (options),,451.0,410.0
MH601,Computer Science through Arts (options),,352.0,342.0
MH602,Computer Science through Science (options),,351.0,357.0
MH603,Computational Thinking,,532.0,520.0
MH801,Early Childhood - Teaching and Learning (part-time,,327.0,347.0
MH802,Community and Youth Work (part-time  in servic,,,
MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",,,
MI001,Contemporary & Applied Theatre Studies,,375.0,345.0
MI002,Arts (offered in conjunction with the University of Limerick),,281.0,300.0
MI004,Education - Primary Teaching - International,,577.0,
MI005,Education - Primary Teaching,,495.0,
MI006,Education - Primary Teaching (Gaeltacht Applicants),,456.0,
MI007,Early Childhood Care and Education,,357.0,366.0
MI008,Education and Psychology - Primary Teaching,,588.0,543.0
MI009,Education  Business Studies and Accounting,,402.0,392.0
MI010,Education  Business Studies and Religious Studies,,368.0,326.0
MI011,"Education, Gaeilge and Religious Studies",,409.0,377.0
MI012,Education  Gaeilge and Business Studies,,401.0,398.0
MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",,444.0,433.0
MI014,Education  Mathematics and Business Studies,,434.0,
MU001,Theology and Arts,,290.0,290.0
MU002,Theology,,440.0,292.0
NC003,Computing (Degree Award options),,260.0,261.0
NC005,Human Resource Management,,300.0,297.0
NC009,Business,,300.0,297.0
NC010,Psychology,,400.0,366.0
NC020,Marketing Practice,,280.0,270.0
NC022,Accounting and Finance,,337.0,338.0
NC023,Technology Management (with specialisations),,261.0,260.0
NC025,Data Science,,,297.0
NC030,Early Childhood Education and Care,,,
NC102,Computing,,220.0,
NC103,Business,,250.0,
NC104,Business Computing,,243.0,
NM701,Montessori Education,,187.0,
NM801,Montessori Education,,220.0,
NM802,Psychology,,,
PC402,Arts and Humanities,,121.0,
PC404,Applied Social Studies - Professional Social Care,,197.0,
PC405,Social  Political and Community Studies,,216.0,251.0
PC410,Arts and Humanities (fulfils Teaching Council requ,,209.0,203.0
PC411,English and History (fulfils Teaching Council requ,,209.0,168.0
RC001,Medicine - Undergraduate Entry (HPAT required),,733.0,
RC004,Physiotherapy,,566.0,
RC005,Pharmacy,,579.0,555.0
RC101,Medicine - Graduate Entry (GAMSAT required),,,
SG101,Business,,160.0,
SG102,Computing (Level 6 - General Entry),,254.0,
SG131,Computing - Games Development,,280.0,
SG134,Applied Sport with Business,,215.0,
SG135,Business in Tourism with Event Management,,187.0,
SG136,Computing - Software Development,,272.0,
SG137,Computing (Computer Networks and Cloud Infrastructur,,324.0,
SG138,Computing (Level 7 - General Entry),,260.0,
SG141,Business,,261.0,252.0
SG142,Business in International Marketing and Sales with French,,279.0,270.0
SG144,Business in International Marketing and Sales with Spanish,,270.0,280.0
SG145,Business and ICT,,,
SG146,Accounting,,309.0,307.0
SG147,Sport with Business,,307.0,269.0
SG148,Tourism with Event Management,,269.0,246.0
SG149,Business in Finance and Investment,,,262.0
SG150,Business in Marketing,,,
SG231,Fine Art,,449.0,
SG232,Creative Design,,273.0,
SG235,Performing Arts (Theatre Design),,319.0,
SG236,Performing Arts (Acting),,235.0,
SG241,Performing Arts,,328.0,279.0
SG242,Early Childhood Care and Education,,279.0,278.0
SG243,Social Care Practice,,301.0,297.0
SG244,Fine Art,,505.0,
SG245,Creative Design,,282.0,261.0
SG246,Computing,,290.0,295.0
SG247,English and Psychology,,309.0,308.0
SG248,Sociology and Politics,,281.0,282.0
SG249,Writing and Literature,,297.0,279.0
SG250,Application Design and User Experience,,412.0,290.0
SG251,Computing (Smart Technologies),,327.0,303.0
SG252,Software Development,,307.0,300.0
SG253,Computer Networks and Cloud Infrastructure,,324.0,273.0
SG254,Writing and Literature Online,,225.0,
SG255,Law and Business,,,
SG300,Engineering (General Entry),,209.0,
SG302,Construction Economics,,184.0,
SG308,Applied Construction Technology,,171.0,
SG330,Engineering (General Entry),,243.0,
SG331,Interior Architecture and Design,,236.0,
SG332,Advanced Wood and Sustainable Building Technology,,208.0,
SG333,Mechanical Engineering,,216.0,
SG334,Mechatronic Engineering,,290.0,
SG336,Precision Engineering and Design,,309.0,
SG338,Civil Engineering,,245.0,
SG339,Quantity Surveying,,195.0,
SG341,General Engineering,,,
SG342,Civil Engineering,,415.0,
SG343,Quantity Surveying,,311.0,261.0
SG344,Mechanical Engineering,,,
SG346,Construction Project Management and Applied Techno,,291.0,289.0
SG347,Architecture,,360.0,309.0
SG348,Interior Architecture and Design,,316.0,
SG349,Electronics and Self Driving Technologies,,,
SG350,Robotics and Automation,,,
SG401,Science,,209.0,
SG404,Environmental Science with Ecology (Level 6),,264.0,
SG406,Health and Exercise Science,,367.0,
SG431,Pharmaceutical Science with Drug Development,,269.0,
SG433,Occupational Safety and Health,,223.0,
SG434,Human Nutrition,,280.0,
SG435,Health Science and Physiology,,289.0,
SG436,Biomedical Science,,262.0,
SG437,Forensic Investigation and Analysis,,243.0,
SG439,Environmental Science with Ecology (Level 7),,254.0,
SG441,Environmental Science,,,297.0
SG442,Occupational Safety and Health,,290.0,289.0
SG443,Human Nutrition,,356.0,357.0
SG444,Science Undenominated,,338.0,308.0
SG445,Pharmaceutical Science with Drug Development,,311.0,347.0
SG446,Applied Archaeology,,,289.0
SG447,Health Science and Physical Activity,,328.0,316.0
SG448,Forensic Investigation and Analysis,,306.0,306.0
SG449,Medical Biotechnology,,341.0,329.0
SG450,Environmental Science with Ecology (Level 8),,300.0,
SG530,Health and Medical Information Science (Onlin,,285.0,
SG535,Business Administration,,228.0,
SG536,Business,,223.0,
SG537,Marketing and Sales,,234.0,
TA022,Creative Digital Media,,,260.0
TA023,Advertising and Marketing Communications,,,235.0
TA024,Early Childhood Care and Education,,,217.0
TA025,Social Care Practice,,,261.0
TA026,International Hospitality and Tourism Management,,,208.0
TA027,Botanical Cuisine,,,236.0
TA028,Digital Marketing Technologies,,,220.0
TA121,Accounting and Finance,,,202.0
TA122,Management,,,218.0
TA123,Marketing Management,,,207.0
TA125,International Business,,,229.0
TA221,Electronic Engineering,,,251.0
TA222,Mechanical Engineering,,,243.0
TA223,Sustainable Energy Engineering,,,236.0
TA224,Biomedical Design,,,218.0
TA225,Automation Engineering,,,235.0
TA226,Engineering Software,,,243.0
TA321,Pharmaceutical Science,,,261.0
TA322,Computing,,,200.0
TA323,Computing with IT Management,,,243.0
TA326,DNA and Forensic Analysis,,,300.0
TA327,Sports Science and Health,,,341.0
TA328,Computing with Language (French/German/Spanish),,,218.0
TA329,Computing with Data Analytics,,,218.0
TL620,Culinary Arts,,189.0,
TL651,Science (Biological and Environmental Studies),,223.0,
TL652,Pharmacy Technician,,260.0,
TL701,"Animation, Visual Effects and Motion Design (Level 7)",,228.0,
TL702,"TV, Radio and New Media (Level 7)",,243.0,
TL710,Computing with Software Development,,232.0,
TL711,Computing with Games Development,,224.0,
TL715,Computing (Degree Award options),,251.0,
TL716,Computer Systems and Networking,,269.0,
TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),,219.0,
TL743,Agricultural Mechanisation,,,
TL744,Agricultural Engineering,,243.0,
TL745,Civil and Environmental Engineering,,261.0,
TL747,Engineering in Mechanical and Manufacturing Engineering,,200.0,
TL748,Agricultural Science,,249.0,
TL755,Pharmaceutical Science (Degree Award options),,261.0,
TL758,Animal Bioscience,,251.0,
TL771,Health and Leisure (Degree Award Options),,208.0,
TL772,Health and Leisure with Massage,,218.0,
TL773,Coaching and Sports Performance,,106.0,
TL780,Early Childhood Care and Education,,234.0,
TL781,Social Care,,225.0,
TL801,"Animation, Visual Effects and Motion Design (Level 8)",,281.0,281.0
TL802,TV  Radio and New Media (Level 8),,325.0,306.0
TL803,Music Technology,,,264.0
TL810,Computing with Software Development,,310.0,309.0
TL811,Computing with Games Development,,358.0,310.0
TL812,Computing with Digital Media,,,369.0
TL815,Computing (Degree Award options),,308.0,308.0
TL823,Event Management (3 year programm,,299.0,291.0
TL831,Business Studies (Major Specialism in: Acctng or M,,306.0,307.0
TL842,Construction Management,,,
TL844,Agricultural Engineering,,300.0,311.0
TL845,Civil Engineering,,325.0,300.0
TL847,Manufacturing Engineering,,302.0,
TL848,Agricultural Science,,308.0,331.0
TL851,Wildlife Biology (Degree Award options),,309.0,310.0
TL855,Pharmaceutical Science (Degree Award options),,317.0,342.0
